Source	Target	Interaction	Interaction_magnitude_log
C_aerofaciens	B_cellulosilyticus_WH2	-	-10.56571431205915
P_distasonis	B_cellulosilyticus_WH2	+	-11.197342048547211
R_obeum	B_cellulosilyticus_WH2	+	-10.7302872607291
C_spiroforme	B_cellulosilyticus_WH2	-	-10.980776805206064
B_caccae	B_ovatus	-	-9.663731478572263
B_thetaiotaomicron	B_ovatus	-	-9.71743074827321
B_uniformis	B_ovatus	-	-9.647824584202331
B_vulgatus	B_ovatus	-	-10.006625161110575
C_scindens	B_ovatus	-	-9.676606061903382
D_longicatena	B_ovatus	-	-9.794421737830092
B_cellulosilyticus_WH2	B_ovatus	-	-10.122653516181142
C_aerofaciens	B_ovatus	-	-9.919442582902159
P_distasonis	B_ovatus	-	-10.299132103854237
R_obeum	B_ovatus	+	-11.29533129340158
C_spiroforme	B_ovatus	-	-10.057578317954885
B_caccae	C_aerofaciens	-	-9.968291987637768
B_thetaiotaomicron	C_aerofaciens	-	-10.117311799910075
B_uniformis	C_aerofaciens	-	-9.999984317204767
B_vulgatus	C_aerofaciens	-	-9.930613607044485
C_scindens	C_aerofaciens	-	-9.996674242847815
D_longicatena	C_aerofaciens	-	-9.985351036196198
B_cellulosilyticus_WH2	C_aerofaciens	-	-10.148671990712561
B_ovatus	C_aerofaciens	-	-10.478921207291505
P_distasonis	C_aerofaciens	-	-10.19651106688495
R_obeum	C_aerofaciens	-	-10.528106475369535
C_spiroforme	C_aerofaciens	-	-10.436954312069085
B_caccae	P_distasonis	-	-10.126898809711834
B_thetaiotaomicron	P_distasonis	-	-10.165180906952179
B_uniformis	P_distasonis	-	-10.27696685097529
B_vulgatus	P_distasonis	-	-10.38915003262056
C_scindens	P_distasonis	-	-10.35233231855709
D_longicatena	P_distasonis	-	-10.531002845622446
B_cellulosilyticus_WH2	P_distasonis	-	-10.35209117839559
B_ovatus	P_distasonis	-	-11.247825472693474
C_aerofaciens	P_distasonis	-	-10.142802517309063
R_obeum	P_distasonis	+	-10.875702390131032
C_spiroforme	P_distasonis	-	-10.4059410786965
B_caccae	R_obeum	-	-9.60833282313244
B_thetaiotaomicron	R_obeum	-	-9.672110585204754
B_uniformis	R_obeum	-	-9.631240592254654
B_vulgatus	R_obeum	-	-9.986522352278786
C_scindens	R_obeum	-	-9.665316705922027
D_longicatena	R_obeum	-	-9.791200525084488
B_cellulosilyticus_WH2	R_obeum	-	-9.983353420672842
B_ovatus	R_obeum	-	-10.663204264676317
C_aerofaciens	R_obeum	-	-9.826651848682685
P_distasonis	R_obeum	-	-10.240939696064997
C_spiroforme	R_obeum	-	-9.9992283118426
B_caccae	C_spiroforme	-	-9.561992694029154
B_thetaiotaomicron	C_spiroforme	-	-9.861556719429256
B_uniformis	C_spiroforme	-	-9.782847895284169
B_vulgatus	C_spiroforme	-	-9.667266918106321
C_scindens	C_spiroforme	-	-9.691371997238234
D_longicatena	C_spiroforme	-	-9.696217496702223
B_cellulosilyticus_WH2	C_spiroforme	+	-9.729100375576122
B_ovatus	C_spiroforme	+	-9.597278741029195
C_aerofaciens	C_spiroforme	+	-10.25783682275358
P_distasonis	C_spiroforme	+	-9.681427665747432
R_obeum	C_spiroforme	+	-9.55372247266038
