name	Mouse	Day	Absolute_abundance
B_caccae	1	16	109211300.9150125
B_cellulosilyticus_WH2	1	16	41472709.27126805
B_ovatus	1	16	2460885.2182750185
B_thetaiotaomicron	1	16	30918989.80535587
B_uniformis	1	16	9428685.08619478
B_vulgatus	1	16	42355613.53067613
C_aerofaciens	1	16	2446590.542061228
C_scindens	1	16	9320253.037953991
C_spiroforme	1	16	183528.6019914042
D_longicatena	1	16	2435.1158629352826
P_distasonis	1	16	13971030.891517824
R_obeum	1	16	6276017.1549596405
B_caccae	1	18	125646206.9730729
B_cellulosilyticus_WH2	1	18	50049938.366470054
B_ovatus	1	18	1550742.7479088267
B_thetaiotaomicron	1	18	27248256.1126781
B_uniformis	1	18	36369187.355810836
B_vulgatus	1	18	36578178.46346404
C_aerofaciens	1	18	1200397.378360789
C_scindens	1	18	4119163.1192501625
C_spiroforme	1	18	87694.92652582265
D_longicatena	1	18	1720.7105414789298
P_distasonis	1	18	11225631.255266411
R_obeum	1	18	2520157.9622664186
B_caccae	1	20	141624694.501708
B_cellulosilyticus_WH2	1	20	45854301.30454102
B_ovatus	1	20	1274222.1484569907
B_thetaiotaomicron	1	20	28186759.48701697
B_uniformis	1	20	24216889.89936572
B_vulgatus	1	20	57469489.65650841
C_aerofaciens	1	20	895877.8047855945
C_scindens	1	20	5283550.921957947
C_spiroforme	1	20	211878.16346942008
D_longicatena	1	20	12767.631420848036
P_distasonis	1	20	10195028.625310834
R_obeum	1	20	3522083.1336741033
B_caccae	1	24	114002743.69363545
B_cellulosilyticus_WH2	1	24	28858132.081038587
B_ovatus	1	24	1312345.204117591
B_thetaiotaomicron	1	24	32647441.825534068
B_uniformis	1	24	8737032.935029298
B_vulgatus	1	24	58522040.82794523
C_aerofaciens	1	24	1726975.2695804161
C_scindens	1	24	8608876.48181795
C_spiroforme	1	24	416571.2931398321
D_longicatena	1	24	13808.87621413177
P_distasonis	1	24	11323275.918287273
R_obeum	1	24	6346744.495620063
B_caccae	1	25	105834341.23705421
B_cellulosilyticus_WH2	1	25	31883207.042446677
B_ovatus	1	25	1401201.9071975609
B_thetaiotaomicron	1	25	24822853.16570148
B_uniformis	1	25	8800546.401473233
B_vulgatus	1	25	56657495.48857538
C_aerofaciens	1	25	1662374.5334688202
C_scindens	1	25	5926273.007181797
C_spiroforme	1	25	182505.35924117238
D_longicatena	1	25	22052.118291581577
P_distasonis	1	25	11772799.171985311
R_obeum	1	25	3831028.2004425805
B_caccae	1	26	136171422.8940067
B_cellulosilyticus_WH2	1	26	42080746.09994923
B_ovatus	1	26	1830681.6566221993
B_thetaiotaomicron	1	26	34694198.16328258
B_uniformis	1	26	10101281.761692766
B_vulgatus	1	26	80699977.00812152
C_aerofaciens	1	26	5087379.583144123
C_scindens	1	26	18551353.6311279
C_spiroforme	1	26	424987.67242139025
D_longicatena	1	26	57788.8873395368
P_distasonis	1	26	15242495.399842234
R_obeum	1	26	8076386.057741207
B_caccae	1	28	160688910.6903587
B_cellulosilyticus_WH2	1	28	131508155.85993204
B_ovatus	1	28	23183333.1108985
B_thetaiotaomicron	1	28	109636958.98195231
B_uniformis	1	28	30830499.67135494
B_vulgatus	1	28	103630429.45941238
C_aerofaciens	1	28	7361687.034516154
C_scindens	1	28	31084244.497172747
C_spiroforme	1	28	845339.7648829261
D_longicatena	1	28	123075.21453187747
P_distasonis	1	28	12130326.587548267
R_obeum	1	28	47704662.66360804
B_caccae	1	29	79486473.73297597
B_cellulosilyticus_WH2	1	29	161597869.65265366
B_ovatus	1	29	30293106.060202047
B_thetaiotaomicron	1	29	68157747.85357025
B_uniformis	1	29	27804601.85903564
B_vulgatus	1	29	74386377.29398255
C_aerofaciens	1	29	2749252.5942385904
C_scindens	1	29	8278411.26527732
C_spiroforme	1	29	197787.47640237404
D_longicatena	1	29	91538.8575834782
P_distasonis	1	29	19218919.764221158
R_obeum	1	29	14184183.71235994
B_caccae	1	30	77554073.74569091
B_cellulosilyticus_WH2	1	30	140741781.4635417
B_ovatus	1	30	33373839.65889191
B_thetaiotaomicron	1	30	42166158.01876654
B_uniformis	1	30	31410408.222120803
B_vulgatus	1	30	64455554.48926751
C_aerofaciens	1	30	3913112.0019351398
C_scindens	1	30	14815195.89553981
C_spiroforme	1	30	301516.83922733617
D_longicatena	1	30	89192.42355890771
P_distasonis	1	30	11395919.457298698
R_obeum	1	30	31424403.782880053
B_caccae	1	32	91881955.1088129
B_cellulosilyticus_WH2	1	32	231399528.33818325
B_ovatus	1	32	57952613.153506905
B_thetaiotaomicron	1	32	54023376.8456171
B_uniformis	1	32	82056641.54909831
B_vulgatus	1	32	98614794.2112545
C_aerofaciens	1	32	8152130.831805024
C_scindens	1	32	18796628.872151345
C_spiroforme	1	32	253552.84400565084
D_longicatena	1	32	95669.53780054297
P_distasonis	1	32	24740842.42196186
R_obeum	1	32	48103166.85555909
B_caccae	1	34	73985277.65521298
B_cellulosilyticus_WH2	1	34	194603025.1858202
B_ovatus	1	34	49612676.11370885
B_thetaiotaomicron	1	34	52353773.08934909
B_uniformis	1	34	49087724.07456002
B_vulgatus	1	34	111939239.18368427
C_aerofaciens	1	34	2107415.4445049237
C_scindens	1	34	9539210.682750857
C_spiroforme	1	34	1240703.4030102172
D_longicatena	1	34	43333.177975398095
P_distasonis	1	34	26474944.18988981
R_obeum	1	34	33496309.586184226
B_caccae	1	37	49442890.370729156
B_cellulosilyticus_WH2	1	37	135924075.35123295
B_ovatus	1	37	54422711.788604744
B_thetaiotaomicron	1	37	39883223.4830482
B_uniformis	1	37	19625647.813231006
B_vulgatus	1	37	59923540.99206761
C_aerofaciens	1	37	2375959.5281034494
C_scindens	1	37	5634988.592915661
C_spiroforme	1	37	637635.227177253
D_longicatena	1	37	66333.88947231519
P_distasonis	1	37	28836897.024880953
R_obeum	1	37	26127647.69917985
B_caccae	1	39	38602562.573505916
B_cellulosilyticus_WH2	1	39	140680437.7644998
B_ovatus	1	39	37396060.88570363
B_thetaiotaomicron	1	39	31325919.673051853
B_uniformis	1	39	7227026.999366986
B_vulgatus	1	39	61777358.27546516
C_aerofaciens	1	39	2013227.7187063142
C_scindens	1	39	6308623.098943109
C_spiroforme	1	39	596389.6992402533
D_longicatena	1	39	92185.57777680142
P_distasonis	1	39	24823234.80972628
R_obeum	1	39	33692584.6154117
B_caccae	1	40	56244185.62621389
B_cellulosilyticus_WH2	1	40	181939151.14966613
B_ovatus	1	40	79010339.1230032
B_thetaiotaomicron	1	40	47304011.41916843
B_uniformis	1	40	15780323.55273927
B_vulgatus	1	40	73982793.10284027
C_aerofaciens	1	40	3241998.916518594
C_scindens	1	40	7894951.084026127
C_spiroforme	1	40	883927.665629184
D_longicatena	1	40	186484.31582177794
P_distasonis	1	40	33174836.529079355
R_obeum	1	40	45911424.55732647
B_caccae	2	0	21057116.50146722
B_cellulosilyticus_WH2	2	0	17075981.891089823
B_ovatus	2	0	20311176.576535888
B_thetaiotaomicron	2	0	12291150.956697108
B_uniformis	2	0	1473995.3847146796
B_vulgatus	2	0	27612613.453023873
C_aerofaciens	2	0	551402.6547535646
C_scindens	2	0	6359591.863741731
C_spiroforme	2	0	28132.313670663032
D_longicatena	2	0	163132.27438531115
P_distasonis	2	0	206988.31373575903
R_obeum	2	0	304128.17776599905
B_caccae	2	1	49958575.932114184
B_cellulosilyticus_WH2	2	1	38366166.83553078
B_ovatus	2	1	26281232.61767151
B_thetaiotaomicron	2	1	15072014.210020194
B_uniformis	2	1	1236582.2504541685
B_vulgatus	2	1	39353910.363358065
C_aerofaciens	2	1	3237598.565558311
C_scindens	2	1	6273328.712345117
C_spiroforme	2	1	764617.940611412
D_longicatena	2	1	123326.65072273361
P_distasonis	2	1	275049.3804276132
R_obeum	2	1	1408298.8686333518
B_caccae	2	2	43611785.043849505
B_cellulosilyticus_WH2	2	2	90794434.43485482
B_ovatus	2	2	36882998.06369174
B_thetaiotaomicron	2	2	42059089.39703619
B_uniformis	2	2	3921205.0882580252
B_vulgatus	2	2	26999525.630943317
C_aerofaciens	2	2	6764282.241371209
C_scindens	2	2	7629286.303666497
C_spiroforme	2	2	4490537.413140861
D_longicatena	2	2	3776.902107678809
P_distasonis	2	2	1035021.5716956907
R_obeum	2	2	19268204.932816613
B_caccae	2	4	53472151.6725069
B_cellulosilyticus_WH2	2	4	195710969.22867474
B_ovatus	2	4	42489070.3318965
B_thetaiotaomicron	2	4	58622622.40134008
B_uniformis	2	4	12584101.108710142
B_vulgatus	2	4	97877442.63743564
C_aerofaciens	2	4	9754694.004336527
C_scindens	2	4	8256847.990523634
C_spiroforme	2	4	2266706.640210595
D_longicatena	2	4	0.0
P_distasonis	2	4	8814335.975964319
R_obeum	2	4	44731687.237971514
B_caccae	2	6	13424198.531322291
B_cellulosilyticus_WH2	2	6	41292296.80982283
B_ovatus	2	6	10790843.164414888
B_thetaiotaomicron	2	6	15139345.210006788
B_uniformis	2	6	5079772.287821457
B_vulgatus	2	6	19082010.61210553
C_aerofaciens	2	6	4398953.76202314
C_scindens	2	6	2625829.3103438714
C_spiroforme	2	6	156557.44056538984
D_longicatena	2	6	0.0
P_distasonis	2	6	4512533.223343317
R_obeum	2	6	12799784.34869286
B_caccae	2	9	35058266.82622715
B_cellulosilyticus_WH2	2	9	75395584.9574276
B_ovatus	2	9	21171018.85302689
B_thetaiotaomicron	2	9	23063667.25793487
B_uniformis	2	9	10148297.413202515
B_vulgatus	2	9	35853722.134346366
C_aerofaciens	2	9	5436160.737828708
C_scindens	2	9	5966168.502338013
C_spiroforme	2	9	1020513.5968404273
D_longicatena	2	9	3695.5542630089185
P_distasonis	2	9	12496598.009934466
R_obeum	2	9	19664180.57863922
B_caccae	2	11	27372301.230904296
B_cellulosilyticus_WH2	2	11	57233988.17080625
B_ovatus	2	11	19827420.80904287
B_thetaiotaomicron	2	11	18415926.807187513
B_uniformis	2	11	10595562.978845509
B_vulgatus	2	11	27406407.418053407
C_aerofaciens	2	11	2237758.9815421696
C_scindens	2	11	3748638.3819580907
C_spiroforme	2	11	402172.6148763254
D_longicatena	2	11	0.0
P_distasonis	2	11	9031067.262168203
R_obeum	2	11	10553610.14013825
B_caccae	2	12	37282313.98196213
B_cellulosilyticus_WH2	2	12	163329243.2198128
B_ovatus	2	12	46262329.226457976
B_thetaiotaomicron	2	12	35228095.54048946
B_uniformis	2	12	22156261.517377045
B_vulgatus	2	12	68905259.81742343
C_aerofaciens	2	12	6513805.737379325
C_scindens	2	12	9583062.58731443
C_spiroforme	2	12	120951.55785297455
D_longicatena	2	12	5077.282071716665
P_distasonis	2	12	22230522.00623222
R_obeum	2	12	34650915.60176247
B_caccae	2	14	65912763.48226088
B_cellulosilyticus_WH2	2	14	95081864.51322843
B_ovatus	2	14	22240904.082102146
B_thetaiotaomicron	2	14	33484354.522814915
B_uniformis	2	14	13671600.375648621
B_vulgatus	2	14	89956831.0715915
C_aerofaciens	2	14	4636630.969813649
C_scindens	2	14	4698825.10992569
C_spiroforme	2	14	170279.99196565218
D_longicatena	2	14	0.0
P_distasonis	2	14	36076447.365963824
R_obeum	2	14	5615731.957462361
B_caccae	2	15	85488305.20405823
B_cellulosilyticus_WH2	2	15	21432510.91632741
B_ovatus	2	15	1611697.284225469
B_thetaiotaomicron	2	15	18053929.80148449
B_uniformis	2	15	3599814.5189579898
B_vulgatus	2	15	29754664.29242706
C_aerofaciens	2	15	4861006.112821191
C_scindens	2	15	7061199.569880566
C_spiroforme	2	15	113494.88503653489
D_longicatena	2	15	0.0
P_distasonis	2	15	12547397.656873036
R_obeum	2	15	6434559.207151244
B_caccae	2	16	145822567.30868587
B_cellulosilyticus_WH2	2	16	57207295.61736091
B_ovatus	2	16	1828682.353058502
B_thetaiotaomicron	2	16	69380248.64006495
B_uniformis	2	16	23195958.34128916
B_vulgatus	2	16	30466128.622708976
C_aerofaciens	2	16	4818109.153624334
C_scindens	2	16	21389719.685699552
C_spiroforme	2	16	296538.39390422875
D_longicatena	2	16	3468.529784819691
P_distasonis	2	16	13767242.251921298
R_obeum	2	16	2890974.033790486
B_caccae	2	18	122089644.8498752
B_cellulosilyticus_WH2	2	18	53562220.70754195
B_ovatus	2	18	1622368.8589541803
B_thetaiotaomicron	2	18	34051391.15156135
B_uniformis	2	18	23149868.408150237
B_vulgatus	2	18	55085831.90093132
C_aerofaciens	2	18	622709.6297453629
C_scindens	2	18	3279459.967898183
C_spiroforme	2	18	117566.15011683946
D_longicatena	2	18	0.0
P_distasonis	2	18	8065453.553898462
R_obeum	2	18	2062491.7299656372
B_caccae	2	20	140653476.0277084
B_cellulosilyticus_WH2	2	20	29544077.60260013
B_ovatus	2	20	2668033.309044224
B_thetaiotaomicron	2	20	37279289.81149244
B_uniformis	2	20	28009481.628523815
B_vulgatus	2	20	79827091.1068289
C_aerofaciens	2	20	1409235.4255995173
C_scindens	2	20	6352801.896330903
C_spiroforme	2	20	205170.98675509015
D_longicatena	2	20	4532.685894704708
P_distasonis	2	20	11684382.904880106
R_obeum	2	20	3351569.5527554215
B_caccae	2	24	195415927.8386111
B_cellulosilyticus_WH2	2	24	38054077.121165805
B_ovatus	2	24	5354614.910761818
B_thetaiotaomicron	2	24	64233222.16084665
B_uniformis	2	24	21611464.6822817
B_vulgatus	2	24	118289769.01007861
C_aerofaciens	2	24	555414.5740474646
C_scindens	2	24	5922069.799815992
C_spiroforme	2	24	465758.82125119196
D_longicatena	2	24	13529.33393098358
P_distasonis	2	24	19409724.858430997
R_obeum	2	24	4103074.167958527
B_caccae	2	25	137968854.12448665
B_cellulosilyticus_WH2	2	25	33346604.176345848
B_ovatus	2	25	3451049.154333573
B_thetaiotaomicron	2	25	24886752.486226253
B_uniformis	2	25	17211696.803823255
B_vulgatus	2	25	110339105.88381042
C_aerofaciens	2	25	2414289.198204703
C_scindens	2	25	12338797.442539576
C_spiroforme	2	25	592385.1880798949
D_longicatena	2	25	28085.902471051442
P_distasonis	2	25	15662714.808028558
R_obeum	2	25	5482864.556141002
B_caccae	2	26	144297715.3049348
B_cellulosilyticus_WH2	2	26	33294362.328680303
B_ovatus	2	26	3981611.954503864
B_thetaiotaomicron	2	26	39067727.97915026
B_uniformis	2	26	19789911.286552846
B_vulgatus	2	26	104304702.67206761
C_aerofaciens	2	26	1813646.839634972
C_scindens	2	26	11244584.886748483
C_spiroforme	2	26	544790.9750556652
D_longicatena	2	26	24178.30109644048
P_distasonis	2	26	15528426.417117065
R_obeum	2	26	6688635.238321086
B_caccae	2	28	111706555.05954802
B_cellulosilyticus_WH2	2	28	123063652.286531
B_ovatus	2	28	30820771.602312267
B_thetaiotaomicron	2	28	59800263.9649944
B_uniformis	2	28	41488173.55580284
B_vulgatus	2	28	78999428.98725498
C_aerofaciens	2	28	8032156.128532708
C_scindens	2	28	28050388.000218753
C_spiroforme	2	28	557682.5145081122
D_longicatena	2	28	120291.0105020103
P_distasonis	2	28	9211703.287954235
R_obeum	2	28	37871159.709354684
B_caccae	2	29	91236936.36729103
B_cellulosilyticus_WH2	2	29	155385268.96175718
B_ovatus	2	29	44872874.64043441
B_thetaiotaomicron	2	29	48253832.22235362
B_uniformis	2	29	45154608.18274295
B_vulgatus	2	29	81809197.55347489
C_aerofaciens	2	29	3241743.7296525603
C_scindens	2	29	10929135.948865995
C_spiroforme	2	29	309508.21577927156
D_longicatena	2	29	124822.12843365429
P_distasonis	2	29	14047686.41598736
R_obeum	2	29	25956852.143183935
B_caccae	2	30	73555719.93974239
B_cellulosilyticus_WH2	2	30	153032772.77786523
B_ovatus	2	30	43118358.442509525
B_thetaiotaomicron	2	30	37231507.39906463
B_uniformis	2	30	30925226.745775763
B_vulgatus	2	30	76452516.97759281
C_aerofaciens	2	30	3943977.891538928
C_scindens	2	30	15199418.242307117
C_spiroforme	2	30	340669.37099501316
D_longicatena	2	30	45101.752583383124
P_distasonis	2	30	11854363.409184538
R_obeum	2	30	34004237.04902319
B_caccae	2	32	75749163.97517467
B_cellulosilyticus_WH2	2	32	241973195.3668861
B_ovatus	2	32	62887197.42001679
B_thetaiotaomicron	2	32	51447322.017864436
B_uniformis	2	32	53125065.12426648
B_vulgatus	2	32	112602868.35577263
C_aerofaciens	2	32	5111081.732269567
C_scindens	2	32	19612357.851624858
C_spiroforme	2	32	385015.5799704794
D_longicatena	2	32	102724.69406835391
P_distasonis	2	32	31269550.468145307
R_obeum	2	32	56151385.54621581
B_caccae	2	34	76529534.46969093
B_cellulosilyticus_WH2	2	34	282573701.9238464
B_ovatus	2	34	77201198.79782659
B_thetaiotaomicron	2	34	55074656.36262817
B_uniformis	2	34	69742772.35426712
B_vulgatus	2	34	141537526.44420922
C_aerofaciens	2	34	2004238.3595758183
C_scindens	2	34	10267345.39450077
C_spiroforme	2	34	1216829.855028611
D_longicatena	2	34	88612.2202258694
P_distasonis	2	34	34884018.46104831
R_obeum	2	34	40790994.348392054
B_caccae	2	37	52713950.10631053
B_cellulosilyticus_WH2	2	37	201816086.5629034
B_ovatus	2	37	132835917.85163544
B_thetaiotaomicron	2	37	44156144.31352164
B_uniformis	2	37	64190947.1517542
B_vulgatus	2	37	92529323.45008387
C_aerofaciens	2	37	2463908.841624714
C_scindens	2	37	8567660.479398264
C_spiroforme	2	37	1389801.1897191806
D_longicatena	2	37	130909.23182264397
P_distasonis	2	37	34606808.587752074
R_obeum	2	37	30614263.48068005
B_caccae	2	39	38987477.24566219
B_cellulosilyticus_WH2	2	39	234508243.46661174
B_ovatus	2	39	104491380.44438255
B_thetaiotaomicron	2	39	61937788.60081335
B_uniformis	2	39	14768978.231751783
B_vulgatus	2	39	109988780.3102856
C_aerofaciens	2	39	2384469.1173799564
C_scindens	2	39	6291515.440532056
C_spiroforme	2	39	628053.4625109552
D_longicatena	2	39	113235.16709397871
P_distasonis	2	39	52337717.194768086
R_obeum	2	39	24993031.612068474
B_caccae	2	40	34650825.963582665
B_cellulosilyticus_WH2	2	40	213263118.4142556
B_ovatus	2	40	96256290.84030274
B_thetaiotaomicron	2	40	58484401.00213008
B_uniformis	2	40	14593084.392878152
B_vulgatus	2	40	80917858.5023137
C_aerofaciens	2	40	2760898.9298889176
C_scindens	2	40	7646272.542011382
C_spiroforme	2	40	711869.5083305567
D_longicatena	2	40	174919.22141683506
P_distasonis	2	40	35888469.60149397
R_obeum	2	40	36091926.10830689
B_caccae	3	0	14973479.099895185
B_cellulosilyticus_WH2	3	0	10402410.041331546
B_ovatus	3	0	12532245.758486409
B_thetaiotaomicron	3	0	6373623.860919308
B_uniformis	3	0	1325603.7013305922
B_vulgatus	3	0	28620821.208395936
C_aerofaciens	3	0	681012.2999954367
C_scindens	3	0	8525563.822482133
C_spiroforme	3	0	10387.460630860269
D_longicatena	3	0	239603.06567548434
P_distasonis	3	0	190654.7696258272
R_obeum	3	0	1352400.2426394655
B_caccae	3	1	30037607.303030375
B_cellulosilyticus_WH2	3	1	48496698.03915785
B_ovatus	3	1	29833111.49119345
B_thetaiotaomicron	3	1	17349513.94700023
B_uniformis	3	1	1703269.082464467
B_vulgatus	3	1	30077223.177512325
C_aerofaciens	3	1	4868709.829819179
C_scindens	3	1	8899718.241600364
C_spiroforme	3	1	1048136.9152209662
D_longicatena	3	1	16890.808814721724
P_distasonis	3	1	1140872.8303004494
R_obeum	3	1	21664507.70633992
B_caccae	3	2	38233213.994533546
B_cellulosilyticus_WH2	3	2	78598280.58083692
B_ovatus	3	2	41427004.14789953
B_thetaiotaomicron	3	2	31080026.379910104
B_uniformis	3	2	4692708.884677648
B_vulgatus	3	2	29929207.60566251
C_aerofaciens	3	2	5883789.580637715
C_scindens	3	2	7742943.042587377
C_spiroforme	3	2	2587347.94323829
D_longicatena	3	2	2676.117610250293
P_distasonis	3	2	5130298.124831018
R_obeum	3	2	34395233.93484399
B_caccae	3	4	78709863.47245404
B_cellulosilyticus_WH2	3	4	317256702.19117904
B_ovatus	3	4	73785793.29828486
B_thetaiotaomicron	3	4	99926285.31254253
B_uniformis	3	4	22212157.95828646
B_vulgatus	3	4	130580246.673164
C_aerofaciens	3	4	20886362.7608596
C_scindens	3	4	16109153.7435763
C_spiroforme	3	4	1300010.715441676
D_longicatena	3	4	2802.0487923366854
P_distasonis	3	4	41308594.77534825
R_obeum	3	4	84843534.42318822
B_caccae	3	6	25304357.141911708
B_cellulosilyticus_WH2	3	6	77578715.33192581
B_ovatus	3	6	25237599.914028578
B_thetaiotaomicron	3	6	29514664.58747781
B_uniformis	3	6	7785114.610102752
B_vulgatus	3	6	41577252.933929235
C_aerofaciens	3	6	7995555.978090111
C_scindens	3	6	6027823.647414963
C_spiroforme	3	6	441233.69392800424
D_longicatena	3	6	0.0
P_distasonis	3	6	11590523.410402372
R_obeum	3	6	34184750.8736829
B_caccae	3	9	39148223.285715
B_cellulosilyticus_WH2	3	9	106816043.59618971
B_ovatus	3	9	35508515.91736979
B_thetaiotaomicron	3	9	37643748.13901419
B_uniformis	3	9	13815637.583857292
B_vulgatus	3	9	51290771.81930239
C_aerofaciens	3	9	3983553.9406512952
C_scindens	3	9	4127125.949771435
C_spiroforme	3	9	568184.1070180034
D_longicatena	3	9	0.0
P_distasonis	3	9	12229253.350978572
R_obeum	3	9	14899065.149823604
B_caccae	3	11	22950307.952495147
B_cellulosilyticus_WH2	3	11	54678214.05388052
B_ovatus	3	11	25687763.64604868
B_thetaiotaomicron	3	11	21048955.319480892
B_uniformis	3	11	13407794.077353247
B_vulgatus	3	11	26642630.561224405
C_aerofaciens	3	11	3273620.760654482
C_scindens	3	11	4714353.135160876
C_spiroforme	3	11	578467.779016652
D_longicatena	3	11	0.0
P_distasonis	3	11	4162507.445934332
R_obeum	3	11	23306969.40181686
B_caccae	3	12	41988670.4046691
B_cellulosilyticus_WH2	3	12	195396575.42075995
B_ovatus	3	12	63063193.202161685
B_thetaiotaomicron	3	12	55560188.64414644
B_uniformis	3	12	30010571.146097764
B_vulgatus	3	12	67808975.43047635
C_aerofaciens	3	12	16354795.118077755
C_scindens	3	12	15727604.810536953
C_spiroforme	3	12	263220.829377641
D_longicatena	3	12	4768.703602162471
P_distasonis	3	12	18284575.48267539
R_obeum	3	12	50672566.28285982
B_caccae	3	14	101820449.5248138
B_cellulosilyticus_WH2	3	14	81004411.2715263
B_ovatus	3	14	24752516.653398484
B_thetaiotaomicron	3	14	28350714.286800884
B_uniformis	3	14	11459467.169403367
B_vulgatus	3	14	92303941.10747562
C_aerofaciens	3	14	3273683.2038494255
C_scindens	3	14	4507527.657940268
C_spiroforme	3	14	154852.20826829007
D_longicatena	3	14	3011.4649591319912
P_distasonis	3	14	27912526.167695936
R_obeum	3	14	6341535.768996782
B_caccae	3	15	92724607.74348554
B_cellulosilyticus_WH2	3	15	35074040.182607904
B_ovatus	3	15	2515752.3164450456
B_thetaiotaomicron	3	15	23093240.679189704
B_uniformis	3	15	6329288.670945346
B_vulgatus	3	15	39598513.714191504
C_aerofaciens	3	15	4030284.6195855644
C_scindens	3	15	4065962.7653712826
