Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Cocluster_probability
B_cellulosilyticus_WH2	B_uniformis	+	-9.521123125737871	11.23892267593397	0.9873333333333332
B_ovatus	B_uniformis	+	-9.957485448990555	4.247248094834886	0.978
B_thetaiotaomicron	B_uniformis	+	-9.696189709640702	7.535098997171509	0.0995
B_vulgatus	B_uniformis	+	-9.538494118609334	12.186739897999216	0.0
C_aerofaciens	B_uniformis	+	-9.05510566771426	27.69927719718245	0.0
C_scindens	B_uniformis	+	-9.726331925870706	7.25610069355253	0.0
C_spiroforme	B_uniformis	-	-9.366533079072857	13.699859747545585	0.2196666666666666
D_longicatena	B_uniformis	+	-9.143662623671709	21.431119920713577	0.0171666666666666
P_distasonis	B_uniformis	+	-9.31888474793744	16.30437090780393	0.8885
R_obeum	B_uniformis	+	-9.79130504534331	6.468709980363698	0.8233333333333334
B_caccae	B_vulgatus	+	-10.553628714596263	3.79374471682164	0.9938333333333332
B_cellulosilyticus_WH2	B_vulgatus	+	-11.263798046572154	0.9161684157712088	0.0
B_ovatus	B_vulgatus	-	-10.979034130420136	1.6826568265682658	0.0
B_thetaiotaomicron	B_vulgatus	+	-9.03628768622684	104.32926403906522	0.8798333333333334
B_uniformis	B_vulgatus	+	-12.630236881216781	0.4076284271585361	0.0
C_aerofaciens	B_vulgatus	+	-9.789407687206626	13.992277992277993	0.994
C_scindens	B_vulgatus	+	-9.557820089653674	26.229490174522468	0.994
C_spiroforme	B_vulgatus	-	-10.331607407516202	3.827704273576531	0.4986666666666666
D_longicatena	B_vulgatus	+	-10.160172508217952	6.595771941063421	0.9671666666666666
P_distasonis	B_vulgatus	+	-11.545367151687119	0.6063896429317185	0.0898333333333333
R_obeum	B_vulgatus	-	-10.82298680791291	2.2408605765190357	0.1405
B_caccae	C_aerofaciens	+	-8.416697279733548	22.19178824698496	0.9998333333333334
B_cellulosilyticus_WH2	C_aerofaciens	+	-8.768090616333303	12.741646647739682	0.0
B_ovatus	C_aerofaciens	-	-7.862076305321719	63.37418621473597	0.0
B_thetaiotaomicron	C_aerofaciens	+	-8.358452865856213	25.13023637857078	0.8858333333333334
B_uniformis	C_aerofaciens	+	-9.131499901523892	11.298718227243102	0.0
B_vulgatus	C_aerofaciens	+	-8.39917691084873	23.099551406950926	0.994
C_scindens	C_aerofaciens	+	-7.897236617425376	59.77740303541315	1.0
C_spiroforme	C_aerofaciens	-	-8.536703046322133	22.243505760108427	0.502
D_longicatena	C_aerofaciens	+	-8.899783692987292	16.391202371996282	0.9731666666666666
P_distasonis	C_aerofaciens	+	-8.831426673669235	13.493102089081592	0.0911666666666666
R_obeum	C_aerofaciens	-	-9.11618186774024	15.957582184517497	0.1415
B_caccae	C_scindens	+	-10.272081182980434	5.250382457929628	0.9998333333333334
B_cellulosilyticus_WH2	C_scindens	-	-9.719112592529951	4.565615462868769	0.0
B_ovatus	C_scindens	-	-8.243893932787774	97.25206682250985	0.0
B_thetaiotaomicron	C_scindens	+	-9.622299162338392	7.105215865816611	0.8858333333333334
B_uniformis	C_scindens	-	-9.985625346921426	4.554232187513246	0.0
B_vulgatus	C_scindens	-	-10.002389664425973	5.216061185468451	0.994
C_aerofaciens	C_scindens	+	-10.225117755391217	10.594782005720724	1.0
C_spiroforme	C_scindens	-	-9.433396351613919	11.850058774870478	0.502
D_longicatena	C_scindens	-	-9.396190398015458	9.62238728623251	0.9731666666666666
P_distasonis	C_scindens	-	-10.114377168266085	4.679501314561954	0.0911666666666666
R_obeum	C_scindens	-	-8.903006662838798	19.781968020782013	0.1415
B_caccae	C_spiroforme	-	-7.437747549987456	69.93064193106356	0.502
B_cellulosilyticus_WH2	C_spiroforme	-	-7.439206534539789	69.05298570227082	0.2163333333333333
B_ovatus	C_spiroforme	-	-7.836387828532613	32.68477242929387	0.2125
B_thetaiotaomicron	C_spiroforme	-	-7.261062252541771	103.60269203991643	0.4275
B_uniformis	C_spiroforme	-	-8.310076395746218	16.589876444798726	0.2196666666666666
B_vulgatus	C_spiroforme	-	-7.5847609387187465	53.49849669272399	0.4986666666666666
C_aerofaciens	C_spiroforme	-	-7.544467240881424	47.62699193389731	0.502
C_scindens	C_spiroforme	-	-7.625430391827303	44.02139037433155	0.502
D_longicatena	C_spiroforme	-	-7.747361384331932	36.42674253200569	0.505
P_distasonis	C_spiroforme	-	-7.889636466288034	27.806751715562104	0.3075
R_obeum	C_spiroforme	-	-7.528889803540815	49.353115727002965	0.1493333333333333
B_caccae	D_longicatena	+	-8.087000421448058	13.821625887924233	0.973
B_cellulosilyticus_WH2	D_longicatena	-	-9.099928627729946	9.728776947336588	0.0165
B_ovatus	D_longicatena	-	-8.20805413909537	11.754014884449669	0.0158333333333333
B_thetaiotaomicron	D_longicatena	+	-8.415306166194608	11.958188153310104	0.8645
B_uniformis	D_longicatena	-	-8.867803576073527	9.62238728623251	0.0171666666666666
B_vulgatus	D_longicatena	+	-8.683944943285514	10.61858529819695	0.9671666666666666
C_aerofaciens	D_longicatena	+	-9.190104225112215	10.61858529819695	0.9731666666666666
C_scindens	D_longicatena	+	-8.527235391874633	10.582881906825568	0.9731666666666666
C_spiroforme	D_longicatena	+	-8.569583992546624	11.071633237822349	0.505
P_distasonis	D_longicatena	-	-9.616481433980798	10.345096341199394	0.0873333333333333
R_obeum	D_longicatena	-	-8.784279728335818	10.916475029287977	0.1585
B_caccae	P_distasonis	+	-9.980691163065789	4.235891791202743	0.0911666666666666
B_cellulosilyticus_WH2	P_distasonis	+	-10.328415502116625	2.1849346721001552	0.8918333333333334
B_ovatus	P_distasonis	-	-10.025505312934222	4.861919714843419	0.883
B_thetaiotaomicron	P_distasonis	+	-9.06516382675757	25.817948952520357	0.1915
B_uniformis	P_distasonis	-	-10.660624794387953	2.363980325387817	0.8885
B_vulgatus	P_distasonis	+	-8.990224396590527	31.89501704571989	0.0898333333333333
C_aerofaciens	P_distasonis	+	-8.92944229759484	27.86051867888894	0.0911666666666666
C_scindens	P_distasonis	+	-8.783213818916403	45.22401171303075	0.0911666666666666
C_spiroforme	P_distasonis	-	-9.442577395754258	11.490238706030697	0.3075
D_longicatena	P_distasonis	+	-8.605953561503926	60.85643970467597	0.0873333333333333
R_obeum	P_distasonis	-	-9.912020832184893	5.571136827773996	0.7343333333333333
B_caccae	R_obeum	+	-9.931349888809619	4.179124693134682	0.1415
B_cellulosilyticus_WH2	R_obeum	+	-9.46103975340569	8.457536013760482	0.825
B_ovatus	R_obeum	-	-10.168834346988008	3.8616724444068655	0.8198333333333333
B_thetaiotaomicron	R_obeum	+	-9.369989759965714	10.321340433822574	0.237
B_uniformis	R_obeum	+	-10.108524793311732	3.6240760295670538	0.8233333333333334
B_vulgatus	R_obeum	+	-9.227831202975759	16.0813367518345	0.1405
C_aerofaciens	R_obeum	+	-8.493184190945259	65.38240798502807	0.1415
C_scindens	R_obeum	+	-8.808673286458713	32.102439480325266	0.1415
C_spiroforme	R_obeum	-	-8.605745188751634	47.581017949348414	0.1493333333333333
D_longicatena	R_obeum	+	-8.728246949313483	37.19794637763833	0.1585
P_distasonis	R_obeum	+	-8.867183299710751	29.564379372654404	0.7343333333333333
