Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Cocluster_probability
B_vulgatus	B_uniformis	+	-9.472341089255423	15.6733612888987	0.8138333333333333
C_aerofaciens	B_uniformis	-	-8.530508500448525	107.50395778364116	0.7463333333333333
C_scindens	B_uniformis	+	-10.311779561084947	11.562127604053408	0.8645
C_spiroforme	B_uniformis	-	-8.732279076177978	60.25793244626407	0.7563333333333333
D_longicatena	B_uniformis	+	-8.518100435058301	124.66396761133603	0.718
P_distasonis	B_uniformis	-	-10.245037887156077	8.10650633455014	0.6233333333333333
R_obeum	B_uniformis	-	-10.458649393628676	10.630488492046291	0.5795
B_caccae	B_vulgatus	-	-11.193019263072237	1.6381016266979709	0.7733333333333333
B_cellulosilyticus_WH2	B_vulgatus	+	-11.161551717616717	3.839026039905309	0.6888333333333333
B_ovatus	B_vulgatus	+	-10.058294503071195	10.713839750260146	0.5991666666666666
B_thetaiotaomicron	B_vulgatus	+	-11.14121244688316	1.716083036275949	0.7463333333333333
B_uniformis	B_vulgatus	+	-10.652936304572364	3.3417721518987342	0.8138333333333333
C_aerofaciens	B_vulgatus	-	-9.520000154524807	28.66940736292669	0.7821666666666667
C_scindens	B_vulgatus	+	-11.9260386244339	3.657992565055762	0.7803333333333333
C_spiroforme	B_vulgatus	-	-12.0428784530993	6.249520153550864	0.74
D_longicatena	B_vulgatus	+	-9.918082895528038	12.644981006854998	0.6911666666666667
P_distasonis	B_vulgatus	+	-10.89706865161045	2.801414855987873	0.6825
R_obeum	B_vulgatus	+	-11.82876548971334	3.4546222034613763	0.6021666666666666
B_caccae	C_aerofaciens	-	-8.095359766753479	53.33947711108885	0.7106666666666667
B_cellulosilyticus_WH2	C_aerofaciens	-	-7.569686611539731	177.19490286191768	0.7345
B_ovatus	C_aerofaciens	-	-7.786447358758858	108.07117270538492	0.6493333333333333
B_thetaiotaomicron	C_aerofaciens	-	-8.070123953666068	59.44683240594211	0.7226666666666667
B_uniformis	C_aerofaciens	-	-8.241269846618204	45.22401171303075	0.7463333333333333
B_vulgatus	C_aerofaciens	-	-8.142664643301389	55.83846542150429	0.7821666666666667
C_scindens	C_aerofaciens	-	-8.150336674633294	52.65750412314458	0.7216666666666667
C_spiroforme	C_aerofaciens	-	-7.850675011487997	87.94134310948175	0.782
D_longicatena	C_aerofaciens	-	-7.982106693227446	71.9847279669106	0.6666666666666666
P_distasonis	C_aerofaciens	-	-8.23864151688732	44.69671132764921	0.7516666666666667
R_obeum	C_aerofaciens	-	-8.009020457037483	63.93333678381036	0.6801666666666667
B_caccae	C_scindens	-	-10.093531509513488	11.790023504831549	0.8833333333333333
B_cellulosilyticus_WH2	C_scindens	-	-9.378961183597633	22.956521739130437	0.5956666666666667
B_ovatus	C_scindens	-	-9.852309312582525	23.77762637961575	0.5691666666666667
B_thetaiotaomicron	C_scindens	+	-11.394223822069563	13.371623692159524	0.8243333333333334
B_uniformis	C_scindens	+	-9.638107250077118	13.420202285564166	0.8645
B_vulgatus	C_scindens	+	-10.185476429064664	10.297588640200876	0.7803333333333333
C_aerofaciens	C_scindens	-	-8.793989039605009	34.783363199094595	0.7216666666666667
C_spiroforme	C_scindens	-	-8.744402567329066	41.46716806479606	0.732
D_longicatena	C_scindens	-	-9.06247709386688	34.966639928278205	0.7333333333333333
P_distasonis	C_scindens	-	-9.213386512773011	19.71843095110156	0.598
R_obeum	C_scindens	-	-9.357352434523198	23.51644960747833	0.5703333333333334
B_caccae	C_spiroforme	-	-7.5596202825456835	57.59171657699726	0.7288333333333333
B_cellulosilyticus_WH2	C_spiroforme	-	-7.58142893484109	56.74516553609396	0.728
B_ovatus	C_spiroforme	-	-7.930741727777283	33.646450885516984	0.6681666666666667
B_thetaiotaomicron	C_spiroforme	-	-8.071199901309527	30.082153631933163	0.7258333333333333
B_uniformis	C_spiroforme	-	-8.407810989703906	21.76583077755728	0.7563333333333333
B_vulgatus	C_spiroforme	-	-7.904346002094491	38.65106281347027	0.74
C_aerofaciens	C_spiroforme	-	-8.314836200855309	24.945640277271067	0.782
C_scindens	C_spiroforme	-	-8.03421504947395	30.000278409354557	0.732
D_longicatena	C_spiroforme	-	-7.8203714328999325	40.80588829556935	0.7045
P_distasonis	C_spiroforme	-	-8.375317394183634	22.489419424850787	0.7295
R_obeum	C_spiroforme	-	-8.085750104975903	27.84707508060801	0.6856666666666666
B_caccae	D_longicatena	-	-9.388641283337046	14.9100673504424	0.7325
B_cellulosilyticus_WH2	D_longicatena	+	-7.893977384667935	17.6	0.6963333333333334
B_ovatus	D_longicatena	+	-7.984990966393814	16.888416012767657	0.6686666666666666
B_thetaiotaomicron	D_longicatena	+	-8.642678280162718	14.62796833773087	0.7391666666666666
B_uniformis	D_longicatena	+	-8.80158932436821	14.897790298441764	0.718
B_vulgatus	D_longicatena	+	-8.484122364596558	14.971468827051778	0.6911666666666667
C_aerofaciens	D_longicatena	-	-8.28252104982735	18.76877761413844	0.6666666666666666
C_scindens	D_longicatena	-	-9.160903950839657	15.809220985691574	0.7333333333333333
C_spiroforme	D_longicatena	+	-8.788307376300823	15.735099337748345	0.7045
P_distasonis	D_longicatena	+	-8.65864206939503	15.586973788721208	0.6581666666666667
R_obeum	D_longicatena	+	-9.105593815582063	16.118484459967284	0.67
B_caccae	P_distasonis	-	-9.696140472608441	9.350877949868416	0.5888333333333333
B_cellulosilyticus_WH2	P_distasonis	-	-9.059611619512207	28.372294771814868	0.8235
B_ovatus	P_distasonis	-	-9.00966361958662	31.06822521305826	0.8218333333333333
B_thetaiotaomicron	P_distasonis	-	-9.192739163732647	22.32111708617651	0.6375
B_uniformis	P_distasonis	-	-9.698051227956887	9.58694244138348	0.6233333333333333
B_vulgatus	P_distasonis	-	-9.982095764603068	6.48025613660619	0.6825
C_aerofaciens	P_distasonis	-	-8.523329228774257	91.45582047685836	0.7516666666666667
C_scindens	P_distasonis	-	-9.468483507436009	17.31243617635306	0.598
C_spiroforme	P_distasonis	-	-8.402782950970504	114.7661406025825	0.7295
D_longicatena	P_distasonis	+	-8.751582161080016	51.60071727435744	0.6581666666666667
R_obeum	P_distasonis	-	-9.038149222358982	30.7662247034194	0.8491666666666666
B_caccae	R_obeum	-	-8.605205557159138	76.7184340718434	0.569
B_cellulosilyticus_WH2	R_obeum	-	-8.01113297261236	552.91593604951	0.8605
B_ovatus	R_obeum	-	-8.780208572599879	46.3448275862069	0.9406666666666668
B_thetaiotaomicron	R_obeum	-	-8.835575942220391	47.519740400216335	0.5935
B_uniformis	R_obeum	-	-9.141328730648953	25.44723618090452	0.5795
B_vulgatus	R_obeum	-	-10.128649410242453	5.06743672498726	0.6021666666666666
C_aerofaciens	R_obeum	-	-8.889690141607808	39.76833828746764	0.6801666666666667
C_scindens	R_obeum	-	-8.614447741023438	74.89602053915276	0.5703333333333334
C_spiroforme	R_obeum	-	-8.367263572869216	114.78878459974892	0.6856666666666666
D_longicatena	R_obeum	-	-8.89999726701908	41.39355087482527	0.67
P_distasonis	R_obeum	-	-10.656112334954724	10.40450411433521	0.8491666666666666
